Piece,Control,FTC, FCe,pct,classify,Grade,    Cold, Cold,FMX, FMX+,lock,Hot,   Hot,,Temp Thick, CBX, Opr,Opr,   Opr,  Opr ,     Op,   FTC1,FTC2,FTS,FSYS, Thd,  Clr,  Prm, Prm , Flt,TL,     Spd,Spd,Acc,Dly,Slp,Spr,Skd,FTC,Slw,New,Ctr,Cur,Spd,Lpr,Rset,Opr,Spy,CTC,Smp,Rej,Mat, Prd,  Lheat,  Slope,  Slope , Slope ,Surf , Pred,  Meas ,  FSU,   ClrMax ,FTCPrd,  Tail, Decel,    Prd , XBar,Dly,    Msrd , Ctrl,  HiAcc, Zoom,Burst,HiAcl, Smp,  Adj, -----, -----,-----,-----,-----,-----,-----,---FTPRP-----,-----,-----,-----,-----,-----,-----, -----,-----,-----,-----,FTAPP-----,-----,-----,-----
Id     ,  startTime  , OK, No,  on,pce, Name ,    Thick, Wid , Temp, Off , -onT, Thick,  Wid , Off , Off,    On ,  ThdSpd , TlSpd , Speed, TlDecl ,   Acc1  ,Gt  , Gt ,  Gt , Burst,spdLm,SpdLm,Ctrl,TlDcl,TVD,SpdAch,Imd,Dly,Man,Clr,Vld,Avl,Mrk,Dsc,Int,Ref,Int,Lim,Lim,Sat,Req, Int,Chg,Hld,Mis,ect,cod, tmp,  Mult,   Hd,     Tl,      Full ,  EnTmp,  ThdSpd, ThdSpd,  MaxSpd , HdSpd ,MaxSpd  ,  Spd ,  Rate, Len ,Len Dist , Len , Len , Perm , Perm, Perm , StTmp,  Len ,  NAcl, FAM, GRT  ,DlyDst, Dly ,TlSpd ,TlRate, clrHSp, DclStd, Burst,  Hi_Acl ,Zoom ,AclRot, AclMin ,AclMax, Fam, Grt ,AclIdx, TempV ,  NormAcl, Cor[0], AclBase , cor[1], AvgSlp
90753501000  ,00:00:16.853 , T ,   1,  56, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     887,   0.000,  -1.369,  -1.295,  -1.327  1059  ,   3.70,   3.70,   4.90,   6.80,   3.70,   7.21,  -0.06,   140.4,   31.0, 105.7,    51.5,    0.0,   T,     T,     F,     847,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753600100  ,00:03:03.492 , T ,   1,  61, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     897,   0.000,  -1.698,  -1.256,  -1.451  1081  ,   3.70,   3.70,   5.06,   6.80,   3.70,   7.20,  -0.06,   137.0,   30.3, 96.7,    49.1,    0.0,   T,     T,     F,     844,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753600200  ,00:05:50.277 , T ,   1,  55, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     889,   0.000,  -1.248,  -1.276,  -1.311  1062  ,   3.70,   3.70,   4.94,   6.80,   3.70,   7.21,  -0.06,   137.0,   30.3, 105.7,    49.1,    0.0,   T,     T,     F,     848,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753600300  ,00:08:31.980 , T ,   1,  57, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     887,   0.000,  -1.409,  -1.339,  -1.351  1061  ,   3.70,   3.70,   4.90,   6.80,   3.70,   7.21,  -0.06,   138.2,   30.5, 96.7,    51.0,    0.0,   T,     T,     F,     849,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753600400  ,00:11:16.455 , T ,   1,  61, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     896,   0.000,  -1.629,  -1.285,  -1.439  1078  ,   3.70,   3.70,   5.04,   6.80,   3.70,   7.20,  -0.06,   138.2,   30.5, 105.7,    53.6,    0.0,   T,     T,     F,     843,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753600500  ,00:14:03.375 , T ,   1,  65, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     887,   0.000,  -1.432,  -1.324,  -1.347  1063  ,   3.70,   3.70,   4.91,   6.80,   3.70,   7.21,  -0.06,   138.2,   30.5, 96.7,    51.6,    0.0,   T,     T,     F,     851,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753600600  ,00:16:45.409 , T ,   1,  54, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     889,   0.000,  -1.272,  -1.284,  -1.315  1063  ,   3.70,   3.70,   4.94,   6.80,   3.70,   7.21,  -0.06,   138.2,   30.5, 105.7,    49.1,    0.0,   T,     T,     F,     849,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753600700  ,00:19:28.663 , T ,   1,  74, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     893,   0.000,  -1.478,  -1.290,  -1.367  1070  ,   3.70,   3.70,   4.99,   6.80,   3.70,   7.21,  -0.06,   138.2,   30.5, 96.7,    54.3,    0.0,   T,     T,     F,     850,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753600800  ,00:22:13.026 , T ,   1,  59, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     896,   0.000,  -1.735,  -1.298,  -1.432  1083  ,   3.70,   3.70,   5.05,   6.80,   3.70,   7.20,  -0.06,   138.2,   30.5, 105.7,    54.0,    0.0,   T,     T,     F,     850,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753600900  ,00:24:55.667 , T ,   1,  67, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     892,   0.000,  -1.630,  -1.339,  -1.410  1072  ,   3.70,   3.70,   4.97,   6.80,   3.70,   7.21,  -0.06,   138.2,   30.5, 96.7,    53.9,    0.0,   T,     T,     F,     849,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753601000  ,00:27:37.932 , T ,   1,  65, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     888,   0.000,  -1.465,  -1.336,  -1.367  1063  ,   3.70,   3.70,   4.92,   6.80,   3.70,   7.21,  -0.06,   138.2,   30.5, 105.7,    54.4,    0.0,   T,     T,     F,     848,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753700100  ,00:30:24.665 , T ,   1,  78, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     896,   0.000,  -1.583,  -1.275,  -1.405  1079  ,   3.70,   3.70,   5.04,   6.80,   3.70,   7.20,  -0.06,   138.2,   30.5, 96.7,    49.6,    0.0,   T,     T,     F,     849,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753700200  ,00:33:07.012 , T ,   1,  59, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     897,   0.000,  -1.683,  -1.279,  -1.430  1083  ,   3.70,   3.70,   5.06,   6.80,   3.70,   7.20,  -0.06,   138.2,   30.5, 105.7,    54.1,    0.0,   T,     T,     F,     848,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753700300  ,00:35:48.735 , T ,   1,  53, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     895,   0.000,  -1.757,  -1.313,  -1.458  1080  ,   3.70,   3.70,   5.03,   6.80,   3.70,   7.20,  -0.06,   138.2,   30.5, 96.7,    49.5,    0.0,   T,     T,     F,     846,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753700400  ,00:38:33.280 , T ,   1,  60, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     888,   0.000,  -1.325,  -1.306,  -1.348  1059  ,   3.70,   3.70,   4.93,   6.80,   3.70,   7.21,  -0.06,   138.2,   30.5, 105.7,    54.3,    0.0,   T,     T,     F,     845,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753700500  ,00:41:15.435 , T ,   1,  57, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     887,   0.000,  -1.404,  -1.331,  -1.344  1062  ,   3.70,   3.70,   4.90,   6.80,   3.70,   7.21,  -0.06,   138.2,   30.5, 96.7,    51.3,    0.0,   T,     T,     F,     850,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753700600  ,00:43:57.330 , T ,   1,  53, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     890,   0.000,  -1.244,  -1.256,  -1.312  1062  ,   3.70,   3.70,   4.95,   6.80,   3.70,   7.21,  -0.06,   137.0,   30.3, 105.7,    49.2,    0.0,   T,     T,     F,     848,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753700700  ,00:46:39.402 , T ,   1,  67, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     892,   0.000,  -1.284,  -1.260,  -1.338  1063  ,   3.70,   3.70,   4.99,   6.80,   3.70,   7.21,  -0.06,   138.2,   30.5, 96.7,    54.4,    0.0,   T,     T,     F,     847,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753700800  ,00:49:21.463 , T ,   1,  77, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     893,   0.000,  -1.536,  -1.299,  -1.410  1072  ,   3.70,   3.70,   4.99,   6.80,   3.70,   7.20,  -0.06,   138.2,   30.5, 105.7,    48.9,    0.0,   T,     T,     F,     844,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753700900  ,00:52:03.539 , T ,   1,  70, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     895,   0.000,  -1.799,  -1.339,  -1.455  1081  ,   3.70,   3.70,   5.04,   6.80,   3.70,   7.20,  -0.06,   138.2,   30.5, 96.7,    48.8,    0.0,   T,     T,     F,     849,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
90753701000  ,00:54:45.580 , T ,   1,  54, F , R5041010     ,  7.500 , 850 , 820 , 820 , 820 , 7.574 , 858 ,  0 ,  0.000 , T,   0.00,   1.00,   8.00,   0.00,   0.00,   F ,   T ,   T ,  F,     T,     F,     T,    F,     F,   T,      F,   T,   F,   T,   T,   T,   F,   F,   F,   F,   T,   F,   F,   F,   F,    T,   F,   F,   F,   F,  23,     897,   0.000,  -1.765,  -1.301,  -1.438  1084  ,   3.70,   3.70,   5.06,   6.80,   3.70,   7.20,  -0.06,   138.2,   30.5, 105.7,    48.9,    0.0,   T,     T,     F,     850,   2.5,   0.00,  5,  11,    0.0,    F,   6.00,  -0.06,   6.80,     6,    T,     0.050,    T,   0.0,   0.000,  0.015,   5,  11,     0,   6.059,   0.000,   0.288,   0.050,   0.066, -1.484,
